plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE939318545548,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/5/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE992121467155,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/5/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE917817447983,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/5/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE975737054605,WEA 04,Wind,Uckerland,Uckerland,9/6/2019,Hochspannung,3.6,0.3,9460.8,285,,1712.1865455043462
SEE957421626756,WEA 02,Wind,Uckerland,Uckerland,2/16/2018,Hochspannung,3.45,0.3,9066.6,1110,TrSt Karlstein,1350.6337701608315
SEE965934473132,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/6/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE985604669429,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/7/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE907973763126,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/6/2009,Hochspannung,0.63,0.12,662.256,1598,,3952.761199800067
SEE965009370144,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/6/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE993343179772,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/7/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE905440200785,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/7/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE988416310954,WP Großrössen III WEA 1,Wind,Herzberg (Elster),Herzberg,4/6/2023,Hochspannung,4.2,0.3,11037.6,3382,Umspannwerk Großrössen,1611.687148516809
SEE906793422855,ASO-560750-11,Solare Strahlungsenergie,Peitz,Turnow-Preilack,7/19/2011,Hochspannung,1.4,0.12,1471.6799999999998,339,,4258.226477173535
SEE919989306372,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/28/2009,Hochspannung,0.63,0.12,662.256,1598,,2569.90318991314
