substation_id,substation_name,substation_operator,substation_voltage,substation_type,total_capacity_mw,total_energy_mwh,n_plants,n_wind,n_solar,avg_distance_to_substation_m,max_distance_to_substation_m
2541,UW Randowhöhe,ENERTRAG,110000,generation,59.6,167070.72,26,26,0,1582.2983506014752,3735.9344569092937
2553,,,,minor_distribution,3.026,3180.9311999999995,1,0,1,4649.35808945351,4649.35808945351
2557,,,,,26.22,27562.464,6,0,6,1004.2995891779155,1394.5182982030858
2559,,eon,,,2.0,5606.400000000001,1,1,0,1152.2712090937252,1152.2712090937252
2561,,,,minor_distribution,10.7,29994.24,5,5,0,2133.686608295647,2410.5327992708276
2573,,E.DIS Netz,,minor_distribution,12.0,33638.4,2,2,0,2260.8626143082647,2588.6703847919716
2582,Umspannanlage 110kV - Tesla GF4,E.DIS Netz GmbH,110000;20000,industrial,10.645,11190.024000000001,8,0,8,380.92849849798904,650.351135914928
2587,Umspannwerk Albertshof,Berliner Stadtwerke,110000,generation,27.025000000000002,75756.48000000001,9,9,0,1024.7207865397434,1423.332858966935
2664,Uckerthal,E.DIS Netz GmbH,110000,generation,61.515,172438.848,24,24,0,1735.7833461378214,3413.5325174480713
2665,Karlshof,E.DIS Netz GmbH,110000,generation,26.995,75672.384,10,10,0,754.5842226323447,1708.921989545079
267,,,,,14.0,39244.8,7,7,0,895.5652494368609,1349.2969290405865
2671,Umspannwerk Wustermark,50Hertz Transmission,220000,transmission,27.799999999999997,77928.96,13,13,0,1180.323506487755,1851.5563367023103
2674,UW Schönewalde (Energiequelle),Energiequelle,110000,transmission,13.0,36441.600000000006,6,6,0,3262.1678388842215,3653.9959796898684
268,,,,,8.0,22425.600000000002,4,4,0,1055.202031821884,1307.5713926319902
2684,Umspannwerk Tantow,Enertrag,110000,generation,49.3,138197.76,20,20,0,5269.050385122221,6753.4800424566065
269,TrSt Kirche,eon EDIS,,,9.05,25368.960000000003,4,4,0,1453.2523738488248,1850.055867369872
2691,UW Gollmitz,E.DIS Netz GmbH,110000,generation,65.85,184590.72,18,18,0,1272.5628690056617,2046.96606661107
2720,UW Terpe,LEAG,110000,transmission,18.81,19773.071999999996,1,0,1,1017.0289681828044,1017.0289681828044
2770,Wind-UW Sputendorf,Umspannwerk Sputendorf GmbH & Co. KG,110000,generation,21.3,59708.16,4,4,0,547.0481200567882,858.302196187374
2771,Werneuchen,MLK,110000,generation,12.0,33638.4,2,2,0,240.8379324586693,309.2437226455555
2773,UW Semlin,WEMAG,110000,generation,18.65,52279.68,5,5,0,870.8298126716833,1359.416718696129
2782,Petersdorf,,110000,generation,67.55,189356.16,14,14,0,1425.6783548523713,2405.984987212057
2811,UW Alttrebbin,EnBW,,generation,146.0,156979.19999999998,2,1,1,1310.9633720111965,2574.8957932060757
2812,UW Gottesgabe Ost,EnBW,110000,generation,144.0,151372.8,1,0,1,1243.8009202086375,1243.8009202086375
2813,,e.dis,,,69.1,193701.12,42,42,0,2745.0619581516794,4306.932505900831
2820,,,110000,,7.5,21024.0,1,1,0,793.3457528463366,793.3457528463366
2830,,,,minor_distribution,35.465,81711.528,9,8,1,5315.281195370918,5870.150718110512
2835,Umspannwerk Altdöbern,50Hertz Transmission,380000,transmission,36.0,100915.20000000001,15,15,0,2122.1504406257764,3311.4363835952336
2847,Baumgarten Süd,juwi,110000,generation,9.45,26490.24,2,2,0,2189.573304610606,2554.916469220802
2848,Trafostation Papenburg Raststätte,e.dis,,minor_distribution,11.4,31956.48,2,2,0,3443.6445782281667,3614.3539268324016
285,,,,,36.45,102176.64,13,13,0,1893.1891946949067,2525.743242778949
2856,Umspannwerk Ragow,MITNETZ Strom,110000,transmission,0.075,78.84,1,0,1,138.96547038328475,138.96547038328475
2859,,E.DIS Netz GmbH,,minor_distribution,102.6,107853.12,8,0,8,629.3904918640046,629.3904918640046
286,,,,,30.3,84936.96,12,12,0,1052.3812702222856,1476.3954610506642
2860,,,,yes,42.269999999999996,118491.264,22,22,0,1509.1994349520091,2611.4117492015157
2861,,,,yes,3.0,8409.6,2,2,0,373.7409477266772,731.0367498183967
2862,Umspannwerk Woltersdorf,ENERTRAG,110000,distribution,40.0,112128.00000000001,21,21,0,1019.8662014634928,1934.246077746093
2871,,E.DIS,,minor_distribution,25.2,26490.239999999998,1,0,1,1070.6097225813396,1070.6097225813396
288,,,,,18.799999999999997,52700.16,8,8,0,2410.459358272392,3297.4741250602206
289,,,,,14.399999999999999,40366.08,6,6,0,2470.4351838400166,3190.520974071923
2913,Umspannwerk Walsleben,Edis,,,7.5,21024.0,5,5,0,1445.4779219024529,1649.1110738982045
2914,,,,,39.0,109324.8,7,7,0,2098.29168962639,3246.1238908487985
292,,,,,86.488,188327.3856,26,22,4,1923.1867443590522,2971.8497220637432
293,,,,,23.6,66155.52,14,14,0,1738.4225778796156,2528.891816192538
2931,TS Görlsdorf WW,E.DIS,,minor_distribution,4.2,11773.44,1,1,0,2123.8832418795764,2123.8832418795764
2954,,,,,2.1486,2258.60832,4,0,4,186.1496625691974,377.0953984552164
2958,Sieversdorf,MLK,110000,generation,4.0,11212.800000000001,2,2,0,2369.3199485573377,2492.427059013117
